Fecha de Atención	DISTRITO	PROCEDENCIA	SERVICIOS BRINDADOS	Derivaciones	Casos antiguos	Casos nuevos	Naturaleza/tipologia	Sexo	Edad	Orientación sexual	Discapacidad	Etnia	Nacionalidad	Estado familiar	Nivel educativo	Sexo.1	Edad.1	Orientación sexual.1	Persona con discapacidad	Etnia.1	Nacionalidad.1	Estado familiar.1	Nivel educativo.1	Sexo.2	Edad.2	Orientación sexual.2	Discapacidad.1	PROGRAMACIÓN DE MEDIACIONES	Mediación instalada	Sesiones realizadas por casos mediados	Con acuerdo	Sin acuerdo	Mediaciones suspendidas	Finalización por desición técnica del mediador/a	Convocatoria realizada	Motivos de no realización de la mediación	Desistimiento del solicitante	Instalación de mediación	Seguimiento	Reapertura	Con acuerdo.1	Sin acuerdo.1	Supendidas por	Motivos de no realización de la mediación.1	MONTOS ACORDADOS	EXPEDIENTES FINALIZADOS	mes	pad
1/6/2025	TACUBA	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	53.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
1/6/2025	APANECA	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	37.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																enero	ahuachapan
1/7/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Autorización de pasaporte	Mujer	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
1/7/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	40.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
1/9/2025	EL REFUGIO	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Hombre	42.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
1/10/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	40.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
1/10/2025	APANECA	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	23.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
1/10/2025	ATIQUIZAYA	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	25.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																																enero	ahuachapan
13/1/2025	CONCEPCION DE ATACO	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Hombre	39.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
13/1/2025	TACUBA	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Hombre	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
14/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Mujer	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
14/1/2025	TACUBA	S/P	Orientaciones/Asesorías				Patrimonial-->Reclamación económica	Hombre	57.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
15/1/2025	SAN SALVADOR	S/P	Orientaciones/Asesorías				Patrimonial-->Otros	Hombre	52.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																enero	ahuachapan
16/1/2025	ATIQUIZAYA	S/P	Derivaciones	UIAEM			Discriminación-->Género	Mujer	47.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
17/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Patrimonial-->Otros	Hombre	81.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																																enero	ahuachapan
20/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Mujer	34.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
20/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Familiar-->Cuidado personal de la persona adulta mayor	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
20/1/2025	TACUBA	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Hombre	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
21/1/2025	METAPAN	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	52.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
