Legales	Psicológicas	Sociales	Expediente	N° de expediente	Digital	Presencial	Aviso	Interna	Externa	Atención a mujer víctima	Atención a familiares	Edad	Procedencia	Discapacidad	Orientación sexual	Etnia	Nacionalidad	Embarazo	Nivel académico	Violencia LCVIF	Violencia Delitos	Discriminación	Acciones positivas	Grupo de Autoayuda	Modalidad de violencia	Física	Psicológica y emocional	Económica	Patrimonial	Sexual	Simbólica	Feminicida	Intervención Inicial	Primeros auxilios psicológicos	Evaluación del Riesgo legal	Toma de denuncia legal	Solicitud de medidas	Solicitud de repación del daño	Hijos e hijas	Persona adulta mayor	Usuaria	VIF derivados a FGR	Otras derivación Realizada	Gestión de  Red de apoyo	Gestión de albergue o casas de acogida	Acompañamiento administrativo	Acompañamiento judicial	Representación Legal	Preparación de prueba	audiencia etapa judicial	audiencia etapa administrativa	Recursos	Monto efectivo en concepto de reparación	Monto efectivo en concepto de cuota alimenticia	Judicialización de certificación a FGR	Informes	Reportes	Monitoreo de Medidas legal	Presenciales	Virtuales	Otras diligencias	Intervención Inicial.1	Atención en Crisis	Primeros auxilios psicológicos.1	Evaluación de Riesgo psico	Plan de seguridad psico	Toma de denuncia psico	Solicitud de medidas.1	Solicitud de repación del daño.1	Hijos e hijas.1	Persona adulta mayor.1	Usuaria.1	Derivación Realizada	Gestión de Red de apoyo	Gestión de  albergue o casa de acogida	Acompañamiento administrativo.1	Acompañamiento judicial.1	Presenciales.1	Virtuales.1	Evaluación de Ingreso a GAA	Informe Psicológico	Reporte Psicológico	Monitoreo de Medidas psico	Evaluación de Egreso de GAA	Presencial.1	Virtual	Otras diligencias.1	Intervención Inicial.2	Primeros auxilios psicológicos.2	Evaluación del riesgo social	Plan de Seguridad social	Toma de Denuncia social	Solicitud de medidas.2	Solicitud de repación del daño.2	Hijos e hijas.2	Persona adulta mayor.2	Usuaria.2	Derivación Realizada.1	Gestión de Redes de Apoyo	Gestión de albergue o casas de acogida.1	Acompañamiento administrativo.2	Acompañamiento judicial.2	Investigaciones	Entrevistas realizadas	Visitas realizadas	Evaluación de Ingreso a GAA.1	Informes de Trabajo Social	Reporte de Trabajo Social	Monitoreo de medidas social	Evaluación de Egreso de GAA.1	Presencial.2	Virtuales.2	Otras diligencias.2	Sexo	Edad.1	Adminsitrativo	Judicial	Expedientes finalizados	mes	pad
			Seguimiento a expedientes activos	206-UIAEM-3-24								22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True		True																																																	1.0								1.0																																	enero	ahuachapan
			Seguimiento a expedientes activos	135-UIAEM3-24								28.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar	True	True																																																			2.0							2.0																																		enero	ahuachapan
			Seguimiento a expedientes activos	77-UIAEM3-24								42.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar		True	True																																																		1.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	96-UIAEM3-24								49.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True																																																			1.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	189-UIAEM-3-24								24.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar		True	True																																																		1.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	128-uiaem3-24								18.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar		True																																																			1.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	157-UIAEM-3-24								27.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True	True	True																																																		1.0																																								enero	ahuachapan
			Seguimiento a expedientes activos	71-UIAEM3-24								45.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar		True	True																																																		2.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	44-UIAEM3-24								25.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Técnica	1.0					Familiar		True	True																																																		1.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	187-UIAEM-3-24								21.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar		True																																																			1.0																																									enero	ahuachapan
			Seguimiento a expedientes activos	214-UIAEM3-24								31.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Comunitaria	True	True																																																			1.0																																									enero	ahuachapan
